SMILES,NSC#,"Activity (1 = active, 0 = inactive)",,,,
C1=CC=C2C=C(C=CC2=C1)C(=O)NNC(=O)C3=CC=CC=C3F,NSC99634,0,,,,
C1=CC(=CC=C1NCC(=O)O)[As](=O)(O)O,NSC12633,0,,,,
CC1=NC2=C(C3=C(S2)CCCC3)C(=O)N1,NSC153330,0,,,,
C1=CC=NC(=C1)C=CC2=CC(=CC=C2)[N+](=O)[O-],NSC19637,0,,,,
C1=CC2=C(C(=C1)S(=O)(=O)OC3=CC=C(C=C3)Cl)N=CC=C2,NSC12544,0,,,,
CCOC(=O)C(CC1=CC=C(C=C1)O)NC2=NC3=CC=CC=C3O2,NSC114997,0,,,,
CC(=O)OC1CC2(C3CCC4CC(CCC4(C3CCC2(C1C5=CC(=O)OC5)C)C)O)O,NSC148790,0,,,,
CSC1=CC=CC(=C1)NC(=O)OC2CCCCCCCCCCC2,NSC216621,0,,,,
C1=CC=C2C(=C1)C3=CC=CC4=C3C(=CC=C4)O2,NSC89258,0,,,,
CC1=CC2=C(C=C1)N3C=NN=C3S2,NSC295701,0,,,,
C1=CC=C2C(=C1)C3=C(N2)C=C(C=C3)CC(=O)N,NSC106506,0,,,,
CCOC(=O)C=CC1=CC=C(N1)C(=O)OCC,NSC177989,0,,,,
CC1C2CCC3(C=C(C(=O)C(=C3C2OC1=O)C)Cl)C,NSC125344,0,,,,
CCCCSC1=NC(=NC(=C1)C)N,NSC42021,0,,,,
CC(CCC(=O)C1=COC=C1)O,NSC349438,0,,,,
C1N(CSC(=S)N1CCC2=CC=CC=C2)CCC3=CC=CC=C3,NSC201989,0,,,,
C1=CC=C2C(=C1)C3=C(S2=O)C=C(C=C3)[N+](=O)[O-],NSC170578,0,,,,
COC1=C(C(=C2C3=CC=CC=C3C(=O)C4=NC=CC1=C24)OC)OC,NSC785149,0,,,,
C1COC(=O)C1=CC2=CC3=C(C=C2)OCO3,NSC13653,0,,,,
C1=CC2=C(C=C1[N+](=O)[O-])NC(=N2)N,NSC287065,0,,,,
C1=CC=C(C=C1)N2C(=NN=N2)C3=CC=CC4=CC=CC=C43,NSC30813,0,,,,
CC1CCOC(=O)C=CC=CC(=O)OC2CC3C4(C2(C5(CCC6(C(C5O3)O6)C)COC(=O)C1OC(=O)C)C)CO4,NSC292463,0,,,,
C=C1CC2(C3=CC=CC=C3CCC4=CC=CC=C42)OC1=O,NSC637827,0,,,,
CN1CCC(=C2C3=CC=CC=C3C(C4=CC=CC=C42)O)CC1,NSC170955,0,,,,
COC1=C(C=C2C3CC4=CC(=C(C=C4CN3CCC2=C1)OC)OC)OC,NSC10105,0,,,,
CCOP(=O)(C(=CC1=CC=C(C=C1)Br)C#N)OCC,NSC637317,0,,,,
CN1C(C2=CC(=C(C=C2C3=C1C4=CC5=C(C=C4C=C3)OCO5)OC)OC)OC,NSC146396,0,,,,
CC1=CC=C(C=C1)S(=O)(=O)N2CC=C(N2)N,NSC122297,0,,,,
CC(C)NC(=NC(C)C)OC,NSC672441,0,,,,
CC12CCC3C(C1(CCC2C4=COC(=O)C4)O)CCC5(C3(CCC(C5)O)C=NO)O,NSC93373,0,,,,
C1CC(OC1)N2C=NC3=C2NC=NC3=S,NSC45153,0,,,,
CCC(C)(C(=O)OC1C2C(C(C3(C4C2(CO3)C(CC5C4(C(C(C=C5C)O)O)C)OC1=O)O)O)C)O,NSC14975,0,,,,
CC1=C(C2=CC=CC=C2N1C)C(=O)C3=CC=CC=C3,NSC106282,0,,,,
CC(C)(C)NC(=S)NC(C)(C)C,NSC47496,1,,,,
CCCCCCC(N1C=NC2=C(N)N=CN=C21)C(O)C,NSC263164,0,,,,
C1CCC(CC1)N2C3=NC=NC(=C3C=N2)N,NSC19115,0,,,,
CC1=COC(CC1)(C)C=NCC(=C)C,NSC40817,1,,,,
CC1=CN2C(=NC(=CC2=O)Cl)C=C1,NSC104969,0,,,,
CN1CCC2=CC(=C(C3=C2C1CC4=CC=CC=C43)O)OC,NSC785170,0,,,,
C1=CC=C(C=C1)N2C3=CC=CC=C3C4=CC=CC=C42,NSC10416,0,,,,
CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)OC7C(C(C(C(O7)CO)O)O)O,NSC7525,0,,,,
CCCC1C(COC(O1)C2=CC3=C(C=C2Cl)OCO3)CC,NSC34219,0,,,,
CC(=O)NC1=CC(=C[N+](=O)[O-])C=C1O,NSC99756,0,,,,
CC1C(C(C(C(O1)OC2CCC3(C(C2)CCC4C3C(CC5(C4(CCC5C6=CC(=O)OC6)O)C)O)C)O)OC)O,NSC123977,0,,,,
CC1=CC(=NO)C(=CC1(C)C(Cl)(Cl)Cl)C,NSC135894,0,,,,
CS(=O)(=O)OC1=C2C(=C(C=C1)Br)C=CC=N2,NSC110562,0,,,,
C1C(C(N=N1)C(=O)C2=CC=CC=C2)C3=CC=C(C=C3)Cl,NSC55845,0,,,,
CC(C)N(C(C)C)C(=O)C1=CC(=CC=C1)[N+](=O)[O-],NSC6910,0,,,,
CSC1=NC(=O)NN=C1SC2=CC=CC=C2,NSC134058,0,,,,
COC1=C(C=C2C(=C1)C34CCN5C3CC6C(C5)CCOC7C6C4N2C(=O)C7)OC,NSC72917,0,,,,
CC1=CC(=C(C(=C1C2=C(C(=O)C(=C(C2=O)O)C)O)C)Br)C,NSC159566,0,,,,
CC(=O)NC1=CC=C(C=C1)CC2=NC3=C(N2)C(=O)N(C(=O)N3C)C,NSC14142,0,,,,
C1C(C(=O)C2=CC=CC=C21)C(=O)C3=CN=CC=C3,NSC153399,0,,,,
CC1=C(C=C(C=C1)C(C)C)NC(=O)NC2=CC=C(C=C2)[N+](=O)[O-],NSC46492,1,,,,
COC1=CC(=O)C(=CC1=O)C2CC(=O)C3=C(C=C(C=C3O2)O)O,NSC169517,0,,,,
CCCCCCCCCCCCCCCCCCOCC(CO)O,NSC284200,0,,,,
CC1(CCCC2(C1CCC3=C2COC3=O)C)C,NSC375294,0,,,,
CC1C(=O)OC2CCN3C2C4(COC(=O)C(C1(C)O)(C)O)C(C3)O4,NSC113087,0,,,,
CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,NSC82151,0,,,,
CN(CCC1=CC(OC)=C2C3=C1C(OC4=C(OC)C=CC(C(O2)=O)=C34)=O)C,NSC76022,0,,,,
C1=CC=C2C(=C1)N=C(S2)C3=CC=CC=N3,NSC62611,0,,,,
CC1=C2C(=CC=C1)C=C3C=CC=C(C3=N2)C,NSC61888,0,,,,
O=C(O)C(N)COCCN,NSC136035,0,,,,
CC1CCOC(=O)C=CC=CC(=O)OC2CC3C4(C2(C5(CC(C6(C(C5O3)O6)C)O)COC(=O)C1O)C)CO4,NSC328166,0,,,,
CC1=CC(=S)N=C(N1)SC,NSC43013,0,,,,
CCSC1=NC(=S)C=C(N1)C,NSC67307,0,,,,
CCC1=CC2=C(C=C1C3=CSC(=N3)CC(=NO)N)C(CCC2(C)C)(C)C,NSC310354,0,,,,
CCOC(=O)C1=CC=C(C=C1)NCC#C,NSC202883,0,,,,
CC1=CC(=NOC)C(=C(C1=O)C)C,NSC106261,0,,,,
CN1CCC2=CC(=C(C3=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=CC(=C(C=C7CCN6C)OC)O3)O)O)OC,NSC93674,0,,,,
COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O,NSC122819,0,,,,
C1C2(CC1(CO)CO)CC(C2)(CO)CO,NSC47619,0,,,,
COC1=CC=CC(=C1)NC(=S)NC2=CC=C(C=C2)O,NSC201634,0,,,,
C1(=C(C2(C(=C(C2(C1=O)Cl)Cl)Cl)Cl)O)Cl,NSC61929,0,,,,
CCOC(=O)CC1(NC(C(S1)(C)C)C(=O)O)C,NSC117446,0,,,,
C1=C(N2C(=NC=N2)NC1=O)N,NSC97090,0,,,,
CSC(=O)NC(=O)NC(=O)C1=CC=C(C=C1)[N+](=O)[O-],NSC361570,0,,,,
CCCNC(=O)C1=CC=CC=C1C(=O)NC2(CCCC2)C(=O)NCCC,NSC78846,0,,,,
C1=CC(=C(C=C1C2C(C(=O)C3=CC(=C(C=C3O2)O)O)O)O)O,NSC36398,0,,,,
CC(=CCC1C(C2C(C3C1OC(C=C3)(C)C)OC=C(C2=O)C4=CC(=C(C=C4)O)O)O)C,NSC5113,0,,,,
CC1(C(N(C(S1)(C)C)C=O)C(=O)O)C,NSC81660,0,,,,
CC1CC2C3C(CCCC3(C1(CCC4=COC=C4)O)C)(C(=O)O2)C,NSC36693,0,,,,
C1CN2CC(C(C(C2C1O)O)O)O,NSC614552,0,,,,
C1CC(C(=O)C1)C(=O)NC2=CC3=CC=CC=C3C=C2,NSC88795,0,,,,
C1CCC(CC1)(CC(=O)OC2CCCC2)O,NSC57345,0,,,,
CN1C=NC(=C1SC2=NNC(=N2)N)[N+](=O)[O-],NSC341074,0,,,,
CCC1(C(=NC(=S)NC1=O)N)CC,NSC44819,0,,,,
CC1=CC2=C(C=C1C)N(CC(=O)N2)C(=O)CCl,NSC138389,0,,,,
C1=CC=C(C=C1)OC(=O)C2=CC=CC3=C2C(=CC=C3)C(=O)OC4=CC=CC=C4,NSC16437,0,,,,
CCC1C(=O)N2CCCC2C(=O)N(C(C(=O)N3CCC(=O)CC3C(=O)NC(C(=O)OC(C(C(=O)N1)NC(=O)C4=C(C=CC=N4)O)C)C5=CC=CC=C5)CC6=CC=CC=C6)C,NSC177858,0,,,,
CC1=C(N=CC=C1)NC(=S)NC2=C(C=CC=N2)C,NSC20619,0,,,,
CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1O)O)OC(=O)C5=CC=CC=C5)(CO4)OC(=O)C)O)C)OC(=O)C,NSC330753,0,,,,
C1CN(CCN1CC(COC2=CC=CC3=CC=CC=C32)O)C4=CC=CC=C4Cl,NSC91396,0,,,,
C1COCCN1C2=NC=NC(=N2)N,NSC109885,0,,,,
C=CCN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O,NSC70413,0,,,,
C1=CC=C(C=C1)CN2N=C(N=N2)NN=CC3=CC=CC=C3,NSC168225,0,,,,
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)N=CN3,NSC14771,0,,,,
C1=CC(=C(C(=C1)Cl)N2C=CNC2=S)Cl,NSC321506,0,,,,
O=C(N1)N=C(C(O)=O)NC1=O,NSC28841,0,,,,
COC1=C(C=C2C(=C1)C34CCN5C3(CC6C7C4N2C(=O)CC7OCC=C6C5)O)OC,NSC99794,0,,,,
CC1=C(C2=CC=CC=C2N1C)C(C)(C3=C(N(C4=CC=CC=C43)C)C)C(=O)O,NSC106231,0,,,,
CN1CCC2=CC(=C(C3=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC=C(O3)C=C7)N(CCC6=CC(=C5OC)OC)C)O)OC,NSC785173,0,,,,
C1=CC2=C(C(=C1)C(=O)CN)[N+](=CC=C2)[O-],NSC170621,0,,,,
C1CNC2=C(N1)C=CC(=C2)C3=CC=CC=C3,NSC48964,0,,,,
C1=CC(=CC=C1C(=O)C(=O)C2=CC=C(C=C2)N)N,NSC121781,0,,,,
CC1CC(=O)OCC23CC(C(=CC2OC4CC(C3(C45CO5)C)OC(=O)C=CC=CC(OCC1O)C(C)O)C)O,NSC269754,0,,,,
COC1=CC=CC=C1NC(=O)OC2=CC=CC(=C2)OC(=O)C3=CC=CC=C3,NSC191454,0,,,,
